trial_number,learning_rate,batch_size,optimizer,epochs,val_acc,val_loss
0,2.3322887612322934e-05,16,adam,3,89.19831223628692,0.24398780206839243
1,0.0025498838930455873,16,sgd,3,90.9704641350211,0.2171503630032142
2,0.002955198947442095,64,sgd,3,87.34177215189874,0.2870426797553113
3,0.0006010046301592264,16,sgd,3,87.67932489451476,0.2994852235913277
4,0.0006286579705663656,64,adam,3,93.50210970464136,0.16685459645170914
5,0.0007637476142877779,64,adam,3,92.65822784810126,0.19198624476006157
6,0.003194553013269346,32,adam,3,91.13924050632912,0.20404137854501114
7,1.437030516880517e-05,16,sgd,3,75.61181434599156,0.6707521724700928
8,0.005631764054277922,32,adam,3,87.76371308016877,0.2730190528458671
9,1.876948692328677e-05,32,adam,3,87.0886075949367,0.3102702761166974
10,0.00010333509038704339,64,adam,3,89.28270042194093,0.23979842192248293
11,0.0004473543628887497,64,adam,3,90.29535864978902,0.2338625402434876
12,0.0006541405275062045,64,adam,3,93.08016877637131,0.17095663731819705
13,0.00018229147895512123,64,adam,3,88.35443037974683,0.2729027535962431
14,0.00015315398369565857,64,adam,3,90.29535864978902,0.22017554585870944
15,0.0011001551733684398,64,adam,3,92.9957805907173,0.18067745942818492
16,4.813376005938528e-05,64,adam,3,88.35443037974683,0.269637992507533
17,0.0003038296166645162,64,adam,3,91.47679324894514,0.2043469889383567
18,0.0015359061703201723,64,sgd,3,85.56962025316456,0.3243584742671565
19,0.006880675246788535,32,adam,3,89.70464135021098,0.24051574225488462
